Puesto,Sueldo,Comodidades,Empresa
Programador en Sistemas de Pedimentos,Sueldo no mostrado por la empresa,[],PRENCE SC
Programador en Sistemas de Pedimentos,Sueldo no mostrado por la empresa,[],PRENCE SC
Coordinador de marketing,"$15,000 - $20,000 Mensual","['Fondo de ahorro', 'Prestaciones de ley', 'Prestaciones superiores a las de la ley']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador java full stack,Sueldo no mostrado por la empresa,[],Softtek
Líder de Desarrollo Web,"$35,000 - $40,000 Mensual",[],Empresa confidencial
ESPECIALISTA EN DESARROLLO WEB Y APLICACIONES,"$22,000 - $26,000 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR,"$20,000 Mensual",[],UNIVA
Desarrollado de soporte,"$25,000 - $25,300 Mensual",[],PROMOCIONALES DE OCCID...
Fullstack Developer Sr,"$70,000 - $80,000 Mensual",[],Empresa confidencial
Development Junior,Sueldo no mostrado por la empresa,[],SBLOGISTICS
Diseñador gráfico,"$11,000 - $14,000 Mensual",[],JALTALENT SAPI DE CV
Fullstack Developer Lead,Sueldo no mostrado por la empresa,[],GRUPO QUALTEM SA DE CV
Fullstack Developer Lead - Remote,"$90,000 - $110,000 Mensual",[],GRUPO QUALTEM SA DE CV
Desarrollador full stack,Sueldo no mostrado por la empresa,[],"SITI, SERVICIOS INTEGR..."
Web Server Data Base designer intern,Sueldo no mostrado por la empresa,[],nxp semiconductors n.v.
"Front End Vue.js Developer - Remote, MX",Sueldo no mostrado por la empresa,[],tech holding
"Manager II, Application Management",Sueldo no mostrado por la empresa,[],herbalife
Full-Stack Software Development Engineer,Sueldo no mostrado por la empresa,[],hp development company...
